term	estimate	std.error	statistic	p.value	conf.low	conf.high
A	0.09384032574029624	0.002136659776160039	43.9191708419504	0	0.08965254953180715	0.09802810194878533
phase	0.953521875787673	0.042882571495381584	22.235650581037717	4.667022341979261e-109	0.8694735800922612	1.0375701714830847
intercept1	0.7371739255122344	0.033534005675015896	21.982877102613987	1.201822657883692e-106	0.6714484821318415	0.8028993688926273
intercept2	0.14390106611286363	0.03541021440838574	4.063829279689011	4.834059224664967e-5	0.0744983211875863	0.21330381103814094
intercept3	-0.06298015110569492	0.03552305454144197	-1.772937375985528	0.07624457431371984	-0.1326040586277732	0.006643756416383331
intercept4	0.32873597646374497	0.03604913399429169	9.11910883950221	7.819975015536253e-20	0.25808097216107473	0.3993909807664152
intercept5	0.07551406265763905	0.03528916735174004	2.139865242638421	0.032370010951313775	0.006348565603821854	0.14467955971145624
intercept6	-0.030814394945061118	0.03510325225367186	-0.8778216537425781	0.3800443157114982	-0.09961550510248245	0.0379867152123602
intercept7	-0.45088653188017275	0.03989384399930308	-11.30215809456841	1.3795137630342116e-29	-0.5290770293236662	-0.37269603443667937
intercept8	-1.0944027789172925	0.04213025246986035	-25.97664895790073	7.01402303447102e-148	-1.1769765564177985	-1.0118290014167866
intercept9	-0.9578396104647221	0.03644896372565831	-26.27892572403778	2.8363670759345398e-151	-1.0292782666408193	-0.886400954288625
intercept10	0.023673970014349722	0.0346864843357975	0.6825128134971428	0.4949175950904683	-0.04431029003412609	0.09165823006282553
intercept11	0.6120506303026316	0.0390128816923147	15.688424021832818	2.3886041573188995e-55	0.5355867872525728	0.6885144733526904
intercept12	-0.27798817775172674	0.03666234627738414	-7.58238918067306	3.445171840613209e-14	-0.34984505604413574	-0.2061312994593177
intercept13	0.9289807724034861	0.03827988627114977	24.268117356023257	2.0229009415958938e-129	0.8539535739797433	1.004007970827229
intercept14	1.2305809428337409	0.03905548923744751	31.508527145880045	5.414043224734687e-216	1.154033590529752	1.3071282951377297
intercept15	2.1084641279217005	0.038666388945553125	54.529636343612765	0	2.0326793981761986	2.1842488576672023
intercept16	1.1959481801555494	0.04157146160947078	28.76849006153513	1.1410684498650197e-180	1.1144696126162972	1.2774267476948016
intercept17	-0.21350772133039653	0.0365335790943744	-5.84415013866718	5.1200107801707145e-9	-0.2851122205817158	-0.14190322207907727
intercept18	1.203887293988747	0.0377141342572519	31.921382200554067	1.3893378584212672e-221	1.129968949136425	1.277805638841069
intercept19	-0.1316851252030211	0.034819094299184256	-3.781980199470789	1.5574897193676906e-4	-0.1999292960037261	-0.06344095440231605
intercept20	-1.1010135562388	0.036651162956197324	-30.040344355638794	1.113240233093965e-196	-1.1728485156244552	-1.0291785968531446
intercept21	-1.9970061928802	0.04189667580584305	-47.66502722399019	0	-2.0791221685316033	-1.9148902172287972
intercept22	0.1887119605243243	0.043573344042153246	4.3309037824079475	1.4875899271639031e-5	0.103309775515731	0.2741141455329176
intercept23	-0.9674484990923818	0.0386853101432747	-25.008161896837457	2.8858341178662975e-137	-1.0432703137039623	-0.8916266844808014
intercept24	1.0153355875463217	0.03326001117322265	30.52721727176567	5.502495389198646e-203	0.9501471635214055	1.0805240115712378
intercept25	2.7037326828206365	0.03444728103010046	78.48900122067926	0	2.63621725263631	2.771248113004963
intercept26	0.9107022270371371	0.03129936076283127	29.09651203223989	9.820088162269516e-185	0.8493566072028618	0.9720478468714124
intercept27	0.9621436736708735	0.03407375043628231	28.23709340332453	3.5335257584622758e-174	0.8953603499975542	1.0289269973441928
intercept28	1.820288513356269	0.03387453435268488	53.736192929010514	0	1.7538956460319417	1.8866813806805962
intercept29	1.9259592704038513	0.034472543967973376	55.869368741487676	0	1.85839432577115	1.9935242150365526
intercept30	1.9432332054164452	0.03223036686574537	60.29199771479255	0	1.8800628471510712	2.006403563681819
intercept31	1.9137655658299286	0.035259725932662495	54.276246204657284	0	1.8446577728971572	1.9828733587627
intercept32	1.846733101209078	0.03402058513316691	54.28281418383615	0	1.780053979615092	1.9134122228030639
intercept33	2.820140163197675	0.03326586317622564	84.7757999922625	0	2.7549402694576353	2.8853400569377143
intercept34	0.7344153189253579	0.03643741168514411	20.15552930245005	5.065932683021713e-90	0.6629993043326166	0.8058313335180993
intercept35	2.22874387241327	0.03922100551536909	56.825260931668815	0	2.1518721141657	2.3056156306608404
intercept36	0.6226713388738744	0.037308096833241614	16.689978630029515	2.202678128587786e-62	0.549548812748988	0.6957938649987607
intercept37	1.645188688072181	0.038648541968275586	42.56793670050021	0	1.5694389377593763	1.720938438384986
intercept38	1.9377169374201795	0.03722958721306426	52.047768521597085	0	1.8647482873232806	2.010685587517078
intercept39	1.947152127753211	0.03814331211730659	51.048323275254816	0	1.8723926097522199	2.021911645754202
intercept40	1.9609500168555865	0.03894743304262208	50.34863311041893	0	1.884614450801762	2.037285582909411
intercept41	1.9501639100473287	0.039594755090015636	49.253086819549225	0	1.8725596160942142	2.027768204000443
intercept42	1.8895733213408428	0.03749490416880567	50.39547008398265	0	1.816084659566203	1.9630619831154825
intercept43	1.9630835474956496	0.03592072069165431	54.65044992685086	0	1.8926802286412845	2.0334868663500147
intercept44	0.6731179447432679	0.044577543245632165	15.09993363775654	2.0521194095564663e-51	0.5857475654625521	0.7604883240239837
intercept45	0.1901685851703227	0.047428238139895336	4.009606779180737	6.0899511751014125e-5	0.0972109465659389	0.28312622377470653
intercept46	0.249219228330414	0.05375324088504626	4.636357254502674	3.554100890344026e-6	0.1438648121434174	0.3545736445174106
intercept47	-0.23584958117059965	0.04841343952120175	-4.871572511746739	1.1101837642919229e-6	-0.33073817899986313	-0.14096098334133617
intercept48	-0.9350395811791736	0.04154234203286441	-22.50810944745142	1.0972351289051866e-111	-1.0164610753970322	-0.8536180869613149
intercept49	-1.5153358265530001	0.05093437724890796	-29.750748088031038	5.636733691060893e-193	-1.615165371535836	-1.4155062815701642
intercept50	-0.10676208797548958	0.04986131002809462	-2.141180966070364	0.032263794384709235	-0.20448845985254085	-0.009035716098438312
intercept51	0.6422978969326321	0.05145060408869422	12.48377756314373	1.0225620072354683e-35	0.5414565659359621	0.743139227929302
intercept52	0.2267305971739283	0.04497899075539997	5.040811129064919	4.6501904463683795e-7	0.13857339523238432	0.31488779911547227
intercept53	0.3248763148171052	0.04931588984303211	6.587659998656747	4.507959865276103e-11	0.22821894685921765	0.4215336827749928
intercept54	-1.013407997278196	0.03633706736534077	-27.889097022860202	5.436913680662127e-170	-1.0846273406180695	-0.9421886539383223
intercept55	-0.053322249712560846	0.03958621706125412	-1.3469902827555393	0.17798886832527155	-0.13090980943680391	0.024265310011682237
intercept56	-0.05849984287123579	0.04091110318113896	-1.4299258226359848	0.15274394533371657	-0.13868413167407018	0.0216844459315986
intercept57	0.16762647639030107	0.03539011594860067	4.736533687365018	2.179418692630047e-6	0.0982631237223472	0.23698982905825494
intercept58	-0.21349167478592657	0.029781941670328754	-7.168494154920219	7.677023853848977e-13	-0.27186320784944357	-0.15512014172240957
intercept59	2.9135903454552654	0.030832143120737517	94.49846979646387	0	2.8531604553724357	2.974020235538095
intercept60	0.9369307772179752	0.032819017665062435	28.548410155962323	5.751232391463205e-178	0.8726066845864691	1.0012548698494814
intercept61	0.9183493405860857	0.031900071023994996	28.78831648667209	6.499327519556599e-181	0.8558263502747858	0.9808723308973857
intercept62	1.754071418331217	0.030535685559366258	57.44332855802505	0	1.6942225743916193	1.8139202622708146
intercept63	2.3980346000370387	0.033378013820597185	71.8447362663994	0	2.332614895073188	2.4634543050008895
intercept64	1.7872094673809797	0.03082335331397424	57.98231779573188	0	1.7267968050028368	1.8476221297591227
intercept65	2.9970049485353	0.030101179564829165	99.56436896702421	0	2.9380077206960618	3.0560021763745384
intercept66	1.9019991224148403	0.03175744530306238	59.89143976362071	0	1.8397556733798373	1.9642425714498433
intercept67	2.891872425439578	0.029644847567865788	97.55059184633114	0	2.8337695918793813	2.9499752589997748
intercept68	0.22877530518906988	0.0683258141455062	3.348299731955941	8.13631332532915e-4	0.09485917024950039	0.3626914401286394
intercept69	2.1874044467384572	0.0725612882315349	30.14561207566624	4.9140959713471745e-198	2.045186935132819	2.3296219583440956
intercept70	0.9878818267298276	0.08384823832412028	11.781783928615322	5.291365493729206e-32	0.8235422994474209	1.1522213540122344
intercept71	0.3773980336273257	0.10794534526734549	3.496195530179033	4.723115902760306e-4	0.16582904460458742	0.5889670226500641
intercept72	-1.1204839174839196	0.07014101771567723	-15.974731390780493	2.574672266834022e-57	-1.2579577860456328	-0.9830100489222064
intercept73	-0.08424837786795737	0.09812730885172814	-0.858561993127295	0.3905859265242926	-0.2765743691171829	0.10807761338126819
intercept74	-0.12156751472417025	0.08178476723490882	-1.4864322395757905	0.13717051442794637	-0.28186271298858295	0.03872768354024246
intercept75	0.8395863192392418	0.08523799159545609	9.849907342068333	7.164097736486813e-23	0.6725229255976201	1.0066497128808636
intercept76	2.1730662757331847	0.08085682207059704	26.875484592207386	4.406793921020841e-158	2.014589816570451	2.331542734895918
intercept77	1.189551025747878	0.08144679688899598	14.605252400154175	3.196861251985036e-48	1.029918237189297	1.3491838143064592
intercept78	0.08430291589675581	0.030689594244117487	2.746954398490127	0.006017091392839147	0.02415241647813781	0.1444534153153738
intercept79	-0.05800456910585159	0.029673738792077586	-1.9547442104376103	0.050618287700077945	-0.11616402842497273	1.548902132695526e-4
intercept80	0.944767965733331	0.02884307129117564	32.75545645592801	4.31205263089782e-233	0.8882365847991056	1.0012993466675564
intercept81	1.096071796589585	0.0313764926616531	34.932897325683356	1.7828361394802557e-264	1.0345750010115595	1.1575685921676104
intercept82	0.9337718455832313	0.02998726216314889	31.138949614771306	4.7724228006448065e-211	0.8749978917484988	0.9925457994179638
intercept83	1.771326957602272	0.029762873774348407	59.51464804883585	0	1.7129927969281376	1.8296611182764067
intercept84	1.2884752083132884	0.02885894773998996	44.647338493490636	0	1.2319127101111846	1.3450377065153922
intercept85	1.205348847417507	0.02922545495232467	41.24311663869001	0	1.1480680082791528	1.262629686555861
intercept86	0.381264699513617	0.03198074285477552	11.921696167125921	1.0004508667808755e-32	0.3185835953194204	0.44394580370781367
intercept87	0.9861951107249468	0.0315279875662527	31.279989204910816	6.282864204791303e-213	0.9244013905900649	1.0479888308598286
intercept88	0.9532620843308538	0.03308954524516152	28.80855802846802	3.657117479898015e-181	0.8884077673855286	1.018116401276179
intercept89	2.9320879977501284	0.035479911556619885	82.6407921866157	0	2.862548648924487	3.00162734657577
intercept90	3.722442935599321	0.03574757097087477	104.13135311017834	0	3.652378983961617	3.792506887237025
intercept91	3.172444080722069	0.034662145359346495	91.52474689125476	0	3.1045075241908577	3.2403806372532804
intercept92	1.7408849792000822	0.03421942547815145	50.874173218121655	0	1.673816137691253	1.8079538207089114
intercept93	0.9223047842239929	0.037231821881719564	24.77194876882549	9.760843979330822e-135	0.8493317542570122	0.9952778141909735
intercept94	0.9471831608034473	0.03760677522989066	25.186503097202714	3.429369338354061e-139	0.8734752357781687	1.0208910858287261
intercept95	0.6459977476037024	0.03582755972823484	18.030749303157453	1.8021010282191916e-72	0.5757770208824045	0.7162184743250004
intercept96	-0.24696646122923002	0.040795881480444905	-6.053710626343762	1.4245283079496829e-9	-0.3269249196484666	-0.16700800280999345
intercept97	0.1381711093865427	0.03128419955039134	4.41664199091884	1.0043553170691572e-5	0.07685520498261153	0.19948701379047387
intercept98	-0.1086682852571206	0.03227879049506672	-3.366553814143958	7.616541550241188e-4	-0.17193355209196517	-0.04540301842227604
intercept99	0.10067847011485791	0.03183455038299239	3.1625535433553784	0.0015647626652923474	0.03828389790016705	0.16307304232954878
intercept100	-0.20337546727048927	0.032697612630559265	-6.219887352889308	5.01052538219519e-10	-0.26746161040682737	-0.13928932413415115
intercept101	-0.09273097782782544	0.03293985079584982	-2.815160833682612	0.0048770019517895965	-0.15729189904381413	-0.02817005661183676
intercept102	0.8051845705000067	0.03284862094594001	24.511974850485316	5.572701904470804e-132	0.7408024565041562	0.8695666844958572
intercept103	-0.07065902623456648	0.03464893961772002	-2.0392839438708346	0.04142642927339564	-0.13856969998780072	-0.0027483524813322335
intercept104	0.15052027159636838	0.031266411940897715	4.8141204011798315	1.4823858769917561e-6	0.08923923026641578	0.21180131292632098
intercept105	-0.21562718191214422	0.03131622042508868	-6.885479121848199	5.82044221805298e-12	-0.27700584607723566	-0.1542485177470528
intercept106	-0.1472848913741429	0.03194471371579858	-4.610618604520525	4.023670962379331e-6	-0.2098953797535508	-0.08467440299473503
intercept107	0.4447590619305457	0.0316122732512155	14.069189469423701	7.018607818281957e-45	0.38280014488872444	0.506717978972367
intercept108	1.939481847073525	0.030817811824948697	62.933794848581975	0	1.8790800458142929	1.999883648332757
intercept109	0.9774333615307853	0.029549523426134025	33.0778045870726	1.2904154435483557e-237	0.91951735985524	1.0353493632063306
intercept110	0.936130721601878	0.030750353656638703	30.442925374283508	6.907498468325353e-202	0.8758611359229966	0.9964003072807595
intercept111	0.9338315486086615	0.029174138866848644	32.00888132022293	8.890753689383152e-223	0.876651287149668	0.9910118100676549
intercept112	1.1458230715328224	0.030195198703347737	37.94719428045311	4.2695325375233e-311	1.0866415695682303	1.2050045734974144
intercept113	1.959878527558708	0.029573135232234805	66.27226069092717	0	1.9019162475935953	2.017840807523821
intercept114	2.0993140421191336	0.030840132837067772	68.07084953914008	0	2.0388684924800495	2.1597595917582177
intercept115	0.9618694799228521	0.03025094723401439	31.79634252382414	6.973283281494174e-220	0.9025787128459624	1.0211602469997418
intercept116	0.9383408872083381	0.0299877977584117	31.290756819417645	4.510752817449971e-213	0.8795658836261802	0.997115890790496
intercept117	2.522217041317222	0.044572393748065736	56.586977481474754	0	2.4348567548662747	2.6095773277681693
intercept118	0.7258074163996204	0.04841770511820046	14.990537338102497	1.0646718560094615e-50	0.6309104581538669	0.8207043746453739
intercept119	2.3064200379283535	0.04755677097509794	48.49824726611611	0	2.2132104795961416	2.3996295962605654
intercept120	0.2015550969869679	0.032358615347158365	6.228792388814865	4.7340810386876e-10	0.1381333763169525	0.26497681765698333
intercept121	0.9428978034562143	0.0288260646492606	32.70990386405035	1.8644737011517792e-232	0.8863997549276403	0.9993958519847883
intercept122	-1.076565817582981	0.031645655510615156	-34.019387502396974	4.497842400305939e-251	-1.1385901626509483	-1.014541472515014
intercept123	-1.4070632386802744	0.03287275877944824	-42.803320771482014	0	-1.4714926619604658	-1.342633815400083
intercept124	-0.9835682631791287	0.03069722414356666	-32.04095127882301	3.24024222523218e-223	-1.0437337169258727	-0.9234028094323846
intercept125	-0.17869226767776974	0.02934597289924886	-6.08915806919264	1.1424934509142576e-9	-0.23620931765158598	-0.12117521770395351
intercept126	0.1471113078457572	0.030162398042471665	4.877308085338898	1.0784087449617088e-6	0.08799409399515133	0.20622852169636308
intercept127	-1.0586371909752834	0.031386652148320184	-33.72889806700655	6.973921064266954e-247	-1.1201538987812776	-0.9971204831692891
intercept128	-1.0715274393302807	0.028995148550895602	-36.95540436529971	2.370324782913179e-295	-1.1283568862164248	-1.0146979924441366
intercept129	0.3801244701910908	0.032807733141513466	11.58642898463771	5.242897165702811e-31	0.3158224948193233	0.4444264455628583
intercept130	0.07260667668162965	0.029459680539939904	2.464611813532509	0.013719185666473248	0.014866763827291962	0.13034658953596734
intercept131	-0.058977332986811494	0.02953413193311711	-1.9969211595712837	0.04583862829405436	-0.11686316789037535	-0.0010914980832476481
intercept132	1.016325096555268	0.030980555624117227	32.80525723573841	8.680382498798902e-234	0.9556043233109583	1.0770458697995775
intercept133	0.39786659416860737	0.028865903225336224	13.78327194762405	3.786791108453907e-43	0.3412904634657298	0.45444272487148496
intercept134	-0.22447308346923384	0.028923297495325316	-7.760978273847025	8.571210693031748e-15	-0.281161704874209	-0.16778446206425868
intercept135	-0.7183375207174516	0.028643957378203775	-25.078152129358376	5.085917357098609e-138	-0.7744786455534314	-0.6621963958814718
intercept136	0.48711502391748634	0.030941136622116647	15.743281504703926	1.0089938709316554e-55	0.42647151049740445	0.5477585373375683
intercept137	-0.028680519507347554	0.030136286779748764	-0.9516938737993604	0.34125640635976384	-0.08774655622342568	0.030385517208730575
intercept138	0.036711565226141	0.029683374874048127	1.2367719432818791	0.21617700021700353	-0.021466780466594476	0.09488991091887648
intercept139	-0.055570291451840954	0.028886978927591667	-1.9237141963212523	0.054395531964082824	-0.11218772977208807	0.0010471468684061722
intercept140	0.8727614677185639	0.047528924699902865	18.362743807674395	4.3637546413306285e-75	0.7796064870828381	0.9659164483542897
intercept141	0.8166649488792936	0.05810959693753796	14.05387391960621	8.70793030383311e-45	0.7027722317255802	0.930557666033007
intercept142	-0.014014716953915773	0.056856572663512094	-0.24649246863432145	0.8053019464383278	-0.12545155165878402	0.09742211775095247
intercept143	0.8282665441621987	0.055166494082068494	15.013942030284309	7.493293869319705e-51	0.7201422026080024	0.936390885716395
intercept144	0.9636615288424482	0.05193426746322245	18.555408132498847	1.2597651433725411e-76	0.8618722350510618	1.0654508226338344
intercept145	0.511496015292157	0.05201469432364071	9.833682999453517	8.415653768572432e-23	0.40954908775096127	0.6134429428333528
intercept146	0.2453349215960016	0.05631170279678766	4.356730651199503	1.322564055264632e-5	0.13496601220617438	0.3557038309858288
intercept147	-1.0468870600381412	0.044276986091475054	-23.644045190323048	5.5391037683609026e-123	-1.1336683581214133	-0.9601057619548693
intercept148	-1.2419270238653053	0.051934666874738265	-23.913256762784698	9.694575011592661e-126	-1.3437171004888777	-1.1401369472417329
intercept149	-0.057945492500117435	0.05663245531740405	-1.0231852420198682	0.30622473408214146	-0.16894306527830322	0.05305208027806836
intercept150	0.26743589346813346	0.03511554937979522	7.615882370959308	2.660348957203932e-14	0.198610681386397	0.3362611055498699
intercept151	0.9377095458617775	0.03219360541237988	29.12719882878313	4.069403044060848e-185	0.8746112387210192	1.0008078530025357
intercept152	-0.07334326823964835	0.039253375169863845	-1.8684576274591662	0.06170358126466145	-0.15027846984422027	0.003591933364923597
intercept153	-0.5256673024347333	0.034470110589547874	-15.249945342331673	2.1058014515900746e-52	-0.5932274777333598	-0.4581071271361067
intercept154	-1.0994043595035534	0.032943267966814294	-33.37265630753599	8.618929631391508e-242	-1.1639719782515614	-1.0348367407555454
intercept155	-0.11215208197562168	0.03550653408701297	-3.1586322027596303	0.0015859644415448571	-0.18174361000201086	-0.0425605539492325
intercept156	0.3541717366764047	0.0329626096366062	10.74465100248264	6.675279581911533e-27	0.28956620895220364	0.4187772644006058
intercept157	0.8533100705202733	0.0319327586000939	26.722090665783075	2.564618779007074e-156	0.7907230137370775	0.9158971273034691
intercept158	0.9363151808765376	0.03601966520322159	25.99455535174696	4.4261216801229725e-148	0.8657179343430328	1.0069124274100425
intercept159	0.9489258165889473	0.036280344164520806	26.155369758507383	6.98800143349646e-150	0.8778176486797686	1.0200339844981259
intercept160	-0.010322403711422132	0.030643372340048245	-0.3368559960331664	0.7362267337635384	-0.07038230986276756	0.049737502439923295
intercept161	0.3493291331439297	0.028884893649409236	12.093834839204067	1.2551951776805138e-33	0.2927157818938179	0.4059424843940415
intercept162	0.006883348000062014	0.031095440092343555	0.22136197396211993	0.8248114136691226	-0.05406259466435419	0.06782929066447822
intercept163	0.1414315468135821	0.02937440609714739	4.814788300598759	1.4774386597500352e-6	0.08385876879591947	0.19900432483124475
intercept164	-1.0592294046271704	0.0296327841499187	-35.74518679271912	1.1204643702736872e-276	-1.1173085943226604	-1.0011502149316804
intercept165	-1.0444257943685231	0.029688744635061035	-35.17918346520804	3.8004245613882787e-268	-1.1026146645994495	-0.9862369241375968
intercept166	-0.8896269576275656	0.029329455379211326	-30.332201744807435	1.8974464852140882e-200	-0.9471116338569944	-0.8321422813981368
intercept167	0.36722982567621826	0.05877898858146088	6.247637711004166	4.1972454682479156e-10	0.25202512500886387	0.48243452634357264
intercept168	0.9507250411350302	0.06025983089512096	15.777094409536542	5.923331532189143e-56	0.8326179428661191	1.0688321394039413
intercept169	0.917570739841112	0.07013046848925555	13.08376743528656	4.6591279344532305e-39	0.78011754738325	1.055023932298974
intercept170	1.597992657778477	0.06314872695978514	25.30522363176257	1.7633080898696298e-140	1.4742234272677448	1.7217618882892094
intercept171	2.958825261580526	0.05687023619329657	52.02765909963444	0	2.8473616468493788	3.0702888763116736
intercept172	1.1559975829632412	0.05571536304185183	20.74827336393533	2.929676372738331e-95	1.0467974780156377	1.2651976879108446
intercept173	1.8328802526164842	0.0346600287317916	52.88167147234045	0	1.7649478445990492	1.9008126606339193
intercept174	0.1841359699131343	0.03379631308167211	5.448404074969706	5.1039566773893525e-8	0.1178964134628171	0.2503755263634515
intercept175	-0.7848293812862669	0.03718988894083571	-21.10329994625229	1.8128611904272084e-98	-0.8577202241993493	-0.7119385383731844
intercept176	-1.7874757736471725	0.03453507810243456	-51.75826643117289	0	-1.8551632829312221	-1.7197882643631228
intercept177	-0.2673352257337518	0.0384100376669249	-6.960035500406595	3.4395286054945654e-12	-0.3426175162057514	-0.19205293526175213
intercept178	0.5749270537053515	0.03544629569363008	16.219665340338214	5.010101209138391e-59	0.5054535907604794	0.6444005166502236
intercept179	1.2292475453310099	0.03631365809709635	33.850832159189736	1.2265937355252688e-248	1.1580740833137997	1.30042100734822
intercept180	0.3632142809601605	0.03457258681919275	10.50584623186265	8.585523415886566e-26	0.29545325594215854	0.43097530597816247
intercept181	-0.07461811044697929	0.047884177118958565	-1.5583041191583111	0.1191668813203255	-0.16846937302947498	0.019233152135516407
intercept182	-0.07661075594286132	0.04276297751543878	-1.7915206188624826	0.07321524134043401	-0.16042465174481743	0.007203139859094793
intercept183	0.8284546250824191	0.047521542376095134	17.433243612462345	7.008407531950695e-68	0.7353141135354786	0.9215951366293595
intercept184	0.7712483565719108	0.041729059460107354	18.482284684830198	4.858176239016702e-76	0.68946090292137	0.8530358102224517
intercept185	1.7743557412629283	0.046941559356952704	37.79925007966573	1.0093992741810047e-308	1.682351975545152	1.8663595069807046
intercept186	0.1578456195479238	0.06233620767042357	2.5321659023992287	0.011338770720333227	0.035668897581084186	0.28002234151476346
intercept187	1.0648796105024612	0.03823592754571926	27.850236122274502	1.5841907734480402e-169	0.9899385695973685	1.139820651407554
intercept188	1.102501123993801	0.03476950509998039	31.708852939480657	1.0703835189287467e-218	1.0343541462375576	1.1706481017500443
intercept189	0.98060538100997785	0.03795857816797796	25.83356459429298	2.746878230363531e-146	0.9062079348963927	1.055002827123563
intercept190	-0.2452589819378963	0.03450765069259674	-7.10737987128501	1.1968859352076889e-12	-0.31289273448647453	-0.17762522938931807
intercept191	1.945370227324577	0.04826979095903471	40.30202303912111	0	1.8507631755035918	2.039977279145562
intercept192	0.4417621974770241	0.08295890665854118	5.325072560265495	1.0130475336474223e-7	0.2791657282294634	0.6043586667245848
intercept193	-1.9718282669473515	0.08362543474230819	-23.579288682008542	2.5237315679387155e-122	-2.13573110723378	-1.8079254266609228
intercept194	-0.8402494905068791	0.07941130905124706	-10.580980222409316	3.8671002643185896e-26	-0.9958927962125029	-0.6846061848012553
intercept195	-0.9470324812505574	0.0834504546883936	-11.348440038904569	8.144586309545308e-30	-1.1105923669333004	-0.7834725955678142
intercept196	-2.0118398488017832	0.07892998624866922	-25.488916752924222	1.7395460935310926e-142	-2.1665397791494168	-1.85713991845415
intercept197	-2.0750781676440466	0.07902847841282948	-26.257346836468745	4.968915592294182e-151	-2.2299711390861936	-1.9201851962018996
intercept198	-2.0801785531726154	0.08235662267771063	-25.258181862472178	5.724559499585768e-140	-2.2415945675092828	-1.918762538835948
intercept199	-1.6594261156227894	0.08854902696769242	-18.74019593945668	4.062905739352415e-78	-1.8329790193455324	-1.4858732119000464
intercept200	-1.6118543837627455	0.08045420890824499	-20.034432078016017	5.707352921903455e-89	-1.7695417356275671	-1.4541670318979238
intercept201	-1.689942314161275	0.08746906426253372	-19.32045722004072	6.77892469421195e-83	-1.8613785298772607	-1.5185060984452894
intercept202	4.784464751088967	0.054077519519895804	88.47419026548918	0	4.67847476045671	4.890454741721224
intercept203	2.114149673180662	0.05519989723025918	38.29988422554054	8.634244e-317	2.005959862659042	2.2223394837022825
intercept204	1.9250621170475721	0.04368150482065109	44.070416643189226	0	1.8394479408085833	2.010676293286561
